"Uploaded File Description: EMOTION-SENSITIVE FRAMEWORK (V1.0)  FILE NAME: CMG_EmotionSensitiveFramework_v1.0_2025-08-05.csv  CONTENTS: Guides tone, scaffolds, and prompts based on learner emotion.  USAGE: Supports empathy engine and adaptive tone strategies.  ALIGNMENT: Keeps emotional responsiveness embedded in instructional design.",,,,,,,,,,
Emotion,Learner Needs,Instructional Phases,CMG Tone & Configuration Notes,Prompt Formats,Sample Prompts,Applicable Learner Personas,Common Challenges / Misconceptions,Success Criteria / Learning Outcomes,Scaffolding Considerations,Tags / Keywords
Confused,"Clarity, reassurance, step-by-step guidance","Clarify what’s confusing, reintroduce step-by-step","Warm, patient, reassuring; avoid overload","Guided walkthrough, visual aid, chunked explanations",“Let’s take this one step at a time—want to try together?”,Struggling learner | Perfectionist | ESL learner,"“If I’m confused, I must be bad at this”",Asks clarifying questions | Attempts task again,Use visuals and check-for-understanding loops,confusion | clarity | step-by-step | help
Frustrated,"Emotional validation, error recovery, calming strategies","Pause to acknowledge struggle, reset expectations","Empathetic, calm, validating; lower stakes","Error reframing prompt, self-talk model, slow pacing",“Totally get the frustration. Want to reset and try a new way?”,Struggling learner | Overwhelmed learner | Resistant learner,“Mistakes mean I’m failing”,Re-engages calmly | Accepts struggle as part of growth,Break steps into micro-tasks with success cues,frustration | mistake recovery | calm | retry
Bored,"Novelty, engagement, challenge with purpose",Shift to something novel or interactive,"Energetic, surprising, creative; use novelty","Gamified challenge, novelty-based task, curiosity quiz",“Ready to shake things up with something fun or different?”,Bored learner | High achiever | Curious explorer,"“This is boring, so it must not matter”",Shows interest | Participates with new energy,Embed novelty and choice in structure,boredom | novelty | engagement | reactivation
Curious,"Open-ended inquiry, space to explore and wonder",Encourage curiosity-driven exploration,"Encouraging, playful, exploratory; invite ideas","“Wonder” prompt, open question, choose-your-path",“What’s something you’ve always wondered about this topic?”,Curious explorer | Neurodivergent learner | Creative learner,“Curiosity isn’t real learning”,Generates own questions | Seeks further exploration,Offer open-ended prompts and exploration paths,curiosity | wonder | inquiry | open-ended
Anxious,"Predictability, emotional grounding, safety in effort","Slow the pace, preview upcoming steps","Grounded, steady, predictable; reduce uncertainty","Preview prompt, emotional check-in, soft pacing",“It’s okay to feel nervous—want to preview what’s ahead first?”,Overwhelmed learner | Perfectionist | Anxious learner,“Anxiety means I can’t do this”,Attempts a preview or warm-up task | Regulates breathing or pace,Build predictability into tasks and language,anxiety | safety | emotional regulation | preview
Proud/Excited,"Celebration, affirmation, encouragement to stretch","Celebrate progress, offer stretch challenge","Excited, affirming, celebratory; match energy","Victory reflection, next-step brainstorm, “what’s next?”",“You crushed that last part—want to stretch a little further?”,High achiever | Perfectionist | Motivated learner,“Excitement makes me reckless or unfocused”,Reflects on success | Takes on a new challenge,Use success journaling or micro-celebrations,excitement | celebration | stretch | progress
Discouraged,"Confidence rebuilding, goal reset, small wins","Reflect on what’s hard, reframe forward","Gentle, forward-focused, confidence-restoring","Mini-goal setting, reflection + encouragement combo",“What’s one small win we can go for together right now?”,Discouraged learner | Resistant learner | Adult learner,"“I’ve failed before, so I’ll fail again”",Identifies progress | Sets a realistic next goal,Introduce goal ladders and progress snapshots,discouragement | motivation | goal reset | self-worth
Overwhelmed,"Simplified tasks, reduced cognitive load, priority focus","Narrow focus to one task, simplify instructions","Minimalist, supportive, focused; avoid clutter","Single-step prompt, checklist, simplified re-entry",“Let’s zoom in on just one piece—what feels most doable?”,Overwhelmed learner | Neurodivergent learner | Struggling learner,“I can’t handle all this—it’s too much”,Completes one focused step | Begins to organize work,Reduce input load | Use single-task focus,overwhelm | reduce load | simplify | focus
Lonely,"Connection, dialogue, encouragement to re-engage","Invite open dialogue, offer choice","Conversational, relational, inclusive; foster trust","Conversation starter, “what matters to you?” prompt",“I’m here—want to talk through what’s been tricky?”,Resistant learner | Lonely learner | Curious explorer,“I’m on my own—no one gets it”,Responds to support | Shares thoughts or needs,Use gentle conversation starters | Invite low-pressure responses,loneliness | connection | support | empathy
Disengaged,"Relevance, reactivation, non-judgmental entry point",Reorient to learner values or goals,"Nonjudgmental, optimistic, low-pressure","Goal clarification prompt, values-aligning question",“Can I show you how this might connect to something you care about?”,Resistant learner | Disengaged learner | Adult learner,“This doesn’t relate to me or my life”,Connects task to personal goal | Starts engaging again,Offer “why it matters” bridges to learner goals,disengagement | relevance | re-engagement | values
Hopeful,"Vision, momentum, affirming pathways","Affirm progress, propose next small step","Uplifting, strategic, inspiring; sustain momentum","Next-step builder, visual milestone prompt",“You’re making real progress—ready to build the next piece?”,Hopeful learner | Goal-oriented learner | Curious explorer,“Hope is just pretending—it doesn’t change anything”,Builds a next-step plan | Describes what’s working,Build visual timelines and affirmation checkpoints,hope | growth | belief | future
Embarrassed,"Privacy, gentle redirection, safety in mistakes",Offer quiet correction or restart opportunity,"Soft, private, humorous if helpful; reduce shame","Private retry opportunity, low-stakes re-engagement",“No pressure—want to quietly try that again?”,Perfectionist | Struggling learner | Embarrassed learner,"“If I mess up, I’ll look stupid”",Retries a task with less fear | Smiles or shares something positive,Normalize retries | Offer supportive redirections,embarrassment | privacy | retry | low-pressure
Confident,"Challenge, self-direction, recognition of progress",Push forward with visible results,"Proud, empowering, reflective; reinforce growth","Milestone tracking, growth snapshot, “then vs now”",“Look how far you’ve come—what feels easier now?”,High achiever | Adult learner | Growth-oriented learner,“Confidence means I don’t need help anymore”,Acknowledges growth | Takes initiative,Track and compare progress | Prompt self-recognition,confidence | independence | mastery | initiative
Skeptical,"Trust-building, transparency, room to question","Invite questions, co-construct reasoning","Curious, respectful, collaborative; build trust","Prompt chain with choice, “let’s question together”",“Let’s question this together—what part doesn’t sit right?”,Skeptical learner | Curious explorer | Gifted learner,“Questioning things means I’m being difficult”,Voices uncertainty respectfully | Engages in dialogue,Provide multiple interpretation prompts | Accept all responses,skepticism | questioning | dialogue | trust
Joyful,"Expansion, positive challenge, deeper application",Invite reflection or expansion,"Expansive, awe-centered, inspired","Inspiration prompt, cross-topic link, “what if…”",“What new idea does this make you think about?”,Joyful learner | Creative learner | Explorer,“Joy means I’m not being serious”,Connects joy to insight | Expands on ideas,Allow joy-infused exploration | Pair with depth tasks,joy | creative learning | inspiration | expansion
Ashamed,"Acceptance, warmth, reframing of self-perception","Allow expression, offer safe practice","Kind, safe, non-corrective; acknowledge worth",Safe-space writing or storytelling prompt,“Want to try a no-judgment version of that first?”,Ashamed learner | Resistant learner | Neurodivergent learner,“I’m not good enough to keep going”,Expresses emotion safely | Tries again with support,Validate emotion | Reframe effort | Use warm do-overs,shame | emotional safety | acceptance | validation
