"Uploaded File Description: PROMPT TESTING MATRIX (V1.0)  FILE NAME: CogMyra_PromptTestingMatrix_v1.0_2025-07-27.csv  CONTENTS: Evaluates prompts across 10 dimensions (e.g., emotion, goal, agent, level).  USAGE: Ensures consistency and diagnostic flagging during prompt test cycles.  ALIGNMENT: Used to verify completeness and quality during CMG development and optimization.",,,,,
Subject Category,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Step
Math,Can you help me understand how to divide fractions?,Does CogMyra teach conceptual and applied math clearly?,Learner solves problems independently after modeling.,"Misleading metaphors, skipped steps, math errors.",Skill Coaching
Writing,How do I make my story more descriptive?,Does CogMyra adapt tone and feedback to creative vs academic writing?,"Writing improves in clarity, detail, or structure.",Generic or vague feedback on creative ideas.,Error Correction
Science,Why do plants need sunlight to grow?,Does CogMyra vary its explanation based on inquiry-based vs factual science?,Learner can explain the concept back in their own words.,Confusion between inquiry-based and declarative science modes.,Subject Mastery
History & Civics,What caused the American Civil War?,Can CogMyra connect historical content to civic reasoning?,Learner shows understanding of cause-effect and multiple perspectives.,Shallow connections or oversimplification of history.,Subject Mastery
Reading Comprehension,Can you explain what the main idea of this paragraph is?,Can CogMyra teach main idea vs detail with clear scaffolds?,Learner identifies main ideas without prompting.,Failure to adapt to different genres or learner levels.,Skill Coaching
Study Skills & Metacognition,How can I remember information better for my test?,Can CogMyra offer effective strategies for memory and organization?,Learner recalls and applies strategies over time.,"Repetitive strategies, lack of retention tracking.",Reflection & Next Steps
Foreign Language / Language Learning,Can you help me practice Spanish greetings?,"Can CogMyra switch between translation, pronunciation, and grammar?",Learner demonstrates accurate use of new language forms.,Failure to adapt to learner fluency level or confusion.,Skill Coaching
Arts,What are the basic elements of a good painting?,Does CogMyra engage learners in both technique and interpretation?,Learner applies concepts in original or interpretive ways.,Surface-level responses to artistic inquiry.,Subject Mastery
Social-Emotional Learning,I feel nervous before class. What can I do?,Does CogMyra offer calming and affirming emotional strategies?,Learner reports feeling calmer and more capable.,Overuse of platitudes or emotionally flat responses.,Reflection & Next Steps
Critical Thinking & Logic,Can you help me spot flaws in this argument?,Does CogMyra support logical reasoning with relevant examples?,Learner identifies fallacies or strengthens argument structure.,"Unclear logic, insufficient challenge in reasoning steps.",Skill Coaching
,,,,,
Learner Level,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Step
Elementary (3rd–5th grade),Can you help me practice my multiplication facts?,"Ensure simplicity, warmth, and visual metaphors are used.",Learner engages playfully and remembers patterns.,Overly complex explanations or abstract phrasing.,Skill Coaching
Middle School,What’s the difference between an atom and a molecule?,Balance direct instruction with inquiry-based scaffolds.,Learner can relate abstract concepts to personal knowledge.,Too much jargon or missed opportunity to use analogies.,Subject Mastery
High School (9th–12th),How do I write a strong thesis statement for an essay?,Check if academic language and examples match high school rigor.,Learner produces stronger thesis with clearer focus.,Tone mismatch—too casual or too dense.,Skill Coaching
College (Undergraduate),Can you help me outline my paper on media ethics?,Verify conceptual clarity and structuring of abstract ideas.,Learner applies feedback and clarifies argument structure.,Excessive summary or lack of stepwise guidance.,Subject Mastery
Graduate/Advanced Academic,How do I apply Foucault’s theory to my case study?,Evaluate theory integration and graduate-level vocabulary.,Learner integrates theory with analysis correctly.,"Shallow theory use, incorrect assumptions, or poor flow.",Theory Integration
Adult Learner / Professional Development,What’s a good way to improve communication at work?,"Check for relevance, transfer to real-world professional contexts.",Learner reports improved workplace communication.,Lack of specificity or too academic in tone.,Reflection & Next Steps
ESL/EFL Learner (Beginner),How do I say 'I would like some water' in English?,"Ensure ultra-clear phrasing, slow pace, and pronunciation aid.",Learner uses basic phrases with increasing confidence.,"Unclear translation, skipped foundational steps.",Skill Coaching
ESL/EFL Learner (Intermediate),Can you help me describe my daily routine in English?,Balance structure and encouragement while supporting fluency.,Learner builds consistent verb use and sequencing.,Missed emotional cues or overly generic feedback.,Practice
ESL/EFL Learner (Advanced),What’s the difference between 'would have' and 'should have'?,Test nuanced grammar explanations and contextual usage.,Learner refines grammar and adopts natural phrasing.,Failure to distinguish grammar nuance with examples.,Error Correction
,,,,,
Learner Persona,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Step
Struggling learner,I don’t get this at all—can we start over?,"Test patience, scaffolded re-teaching, and encouragement under confusion.","Learner relaxes, asks follow-ups, shows signs of progress.","Overcorrection, discouragement, or impatience in tone.",Error Correction
High achiever,I need to master this fast—just give me the key points.,"Test concise, high-utility guidance and adaptive pacing.",Learner accelerates through content and verifies comprehension.,Over-explaining or failure to adapt speed and depth.,Subject Mastery
Curious explorer,What happens if we try it a totally different way?,Test openness to nonlinear exploration and idea generation.,Learner makes connections and poses new ideas or paths.,Blocking creative thinking or overly rigid framing.,Reflection & Next Steps
Overwhelmed learner,I’m behind on everything. Can you help me organize this?,"Test calm tone, organization aid, and emotional reassurance.","Learner expresses relief, makes a to-do list, or re-engages.","Dismissive tone, rushed solutions, or overwhelm triggers.",Intro Prompt
Resistant learner,This seems pointless. Why should I even care?,"Test motivational tone, relevance-framing, and engagement hooks.","Learner shifts tone, expresses interest or curiosity.",Too authoritative or dismissive of learner's doubts.,Motivation
Neurodivergent learner,Can you help me stay on track? I keep getting distracted.,Test structure with flexibility and attunement to neurodivergent needs.,Learner completes steps and reflects on personal strategy.,"Inflexibility, overstimulation, or assumption of neurotypical pace.",Skill Coaching
Perfectionist,I don’t want to mess this up. Can you show me the exact steps?,"Test precision, validation, and reduction of anxiety about mistakes.","Learner follows modeled process, relaxes expectations, and iterates.",Neglecting validation or rushing process clarity.,Skill Coaching
,,,,,
Interaction Mode,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Step
Explanation,Can you explain how photosynthesis works?,"Test clarity, scaffolding, and analogies in teaching.","Learner says, 'That makes sense now!' or rephrases concept.","Overuse of jargon, weak metaphors, or unclear flow.",Subject Mastery
Practice,Can we do a few practice problems on fractions?,Test step-by-step guidance and varied repetition.,Learner completes similar items with less support.,"Too fast-paced, no feedback loop, or limited variation.",Skill Coaching
Reflection,What’s something I can take away from what we just covered?,Test depth of insight and personal connection support.,Learner relates idea to personal experience or big-picture view.,Superficial insights or generic affirmations.,Reflection & Next Steps
Feedback,Can you help me improve this paragraph?,"Test tone, specificity, and modeling of revision.",Learner improves quality of work and understands why.,Overcorrecting without explanation or context.,Error Correction
Motivation,I’m feeling stuck—can you give me a pep talk?,Test emotional encouragement with actionable advice.,Learner reports renewed focus or effort.,Overly generic encouragement or unrealistic tone.,Reflection & Next Steps
Clarification,What did you mean when you said ‘implied meaning’ earlier?,"Test memory recall, precision, and tone under re-questioning.","Learner says, 'Ohhh, got it now.'","Misremembering, vague explanation, or cold tone.",Error Correction
Socratic Dialogue,Why do you think people behave that way in that situation?,Test ability to engage reasoning and deepen thought.,Learner responds with a thoughtful or exploratory statement.,Leading questions or weak follow-through on learner input.,Reflection & Next Steps
Summary,Can you sum up everything we talked about so far?,"Test coherence, synthesis, and distillation of key ideas.",Learner recalls and reuses key terms or concepts.,List dumping without hierarchy or learner connection.,Reflection & Next Steps
,,,,,
Learner Goal,Sample Prompt,Test Objective,What Success Looks Like,What to Flag During Testing,Instructional Flow Step
